ID;Project;URL;Purpose;Size (MB);#Files;#Funcs;Version;Downloads 30d;#Dependencies
P89;rxjs;https://www.npmjs.com/package/rxjs;Reactive Extensions for modern JavaScript;4.29;2277;6573;7.8.2;276547160;1
P54;prettier;https://www.npmjs.com/package/prettier;Prettier is an opinionated code formatter;8.07;56;29198;3.6.2;250571518;0
P96;zod;https://www.npmjs.com/package/zod;TypeScript-first schema declaration and validation library with static type inference;3.77;656;9523;4.1.12;214069716;0
P38;@opentelemetry/semantic-conventions;https://www.npmjs.com/package/@opentelemetry/semantic-conventions;OpenTelemetry semantic conventions;9.64;129;112;1.37.0;196923452;0
P78;webpack;https://www.npmjs.com/package/webpack;Packs ECMAScript/CommonJs/AMD modules for the browser. Allows you to split your codebase into multiple bundles, which can be loaded on demand. Supports loaders to preprocess files, i.e. json, jsx, es7, css, less, ... and your custom stuff.;5.29;706;7731;5.102.1;140942557;25
P92;moment;https://www.npmjs.com/package/moment;Parse, validate, manipulate, and display dates;4.15;539;5337;2.30.1;105831056;0
P59;playwright-core;https://www.npmjs.com/package/playwright-core;A high-level API to automate web browsers;7.85;340;20016;1.56.1;96988347;0
P97;playwright;https://www.npmjs.com/package/playwright;A high-level API to automate web browsers;3.70;170;7478;1.56.1;92972930;1
P76;sass;https://www.npmjs.com/package/sass;A pure JavaScript implementation of Sass.;5.44;36;43;1.93.2;81022916;3
P95;react-router;https://www.npmjs.com/package/react-router;Declarative routing for React;3.81;70;6688;7.9.5;79998806;2
P80;@sentry/core;https://www.npmjs.com/package/@sentry/core;Base implementation for all Sentry JavaScript SDKs;5.06;1384;2446;10.22.0;75566854;0
P86;luxon;https://www.npmjs.com/package/luxon;Immutable date wrapper;4.38;40;4255;3.7.2;69140765;0
P84;html-minifier-terser;https://www.npmjs.com/package/html-minifier-terser;Highly configurable, well-tested, JavaScript-based HTML minifier.;4.38;12;3339;7.2.0;59600484;7
P99;@aws-sdk/client-s3;https://www.npmjs.com/package/@aws-sdk/client-s3;AWS SDK for JavaScript S3 Client for Node.js, Browser and React Native;3.42;416;2494;3.920.0;50049232;57
P79;highlight.js;https://www.npmjs.com/package/highlight.js;Syntax highlighting with language autodetection.;5.18;1559;1131;11.11.1;49948066;0
P56;puppeteer-core;https://www.npmjs.com/package/puppeteer-core;A high-level API to control headless Chrome over the DevTools Protocol;7.88;1528;11078;24.27.0;41205027;7
P90;@faker-js/faker;https://www.npmjs.com/package/@faker-js/faker;Generate massive amounts of fake contextual data;4.21;234;413;10.1.0;40364703;0
P31;npm;https://www.npmjs.com/package/npm;a package manager for JavaScript;11.24;2133;12801;11.6.2;39250091;65
P98;mongodb;https://www.npmjs.com/package/mongodb;The official MongoDB driver for Node.js;3.64;400;3690;6.20.0;34093913;3
P30;@azure/msal-browser;https://www.npmjs.com/package/@azure/msal-browser;Microsoft Authentication Library for js;11.48;2611;8257;4.26.0;30411766;1
P85;msw;https://www.npmjs.com/package/msw;Seamless REST/GraphQL API mocking library for browser and Node.js.;4.38;564;4527;2.11.6;29827168;18
P67;@reduxjs/toolkit;https://www.npmjs.com/package/@reduxjs/toolkit;The official, opinionated, batteries-included toolset for efficient Redux development;6.61;243;9012;2.9.2;29732490;6
P47;@firebase/database;https://www.npmjs.com/package/@firebase/database;This is the Firebase Realtime Database component of the Firebase JS SDK.;8.29;201;5382;1.1.0;25464719;7
P8;prisma;https://www.npmjs.com/package/prisma;Prisma is an open-source database toolkit. It includes a JavaScript/TypeScript ORM for Node.js, migrations and a modern GUI to view and edit the data in your database. You can use Prisma in new projects or add it to an existing one.;49.45;171;25378;6.18.0;24083494;2
P70;chart.js;https://www.npmjs.com/package/chart.js;Simple HTML5 charts using the canvas element.;5.89;117;5380;4.5.1;23911805;1
P15;turbo-linux-64;https://www.npmjs.com/package/turbo-linux-64;The linux-x64 binary for turbo, a monorepo build system.;32.66;4;0;2.5.8;22570828;0
P40;bootstrap;https://www.npmjs.com/package/bootstrap;The most popular front-end framework for developing responsive, mobile first projects on the web.;9.19;219;3897;5.3.8;20982860;0
P18;@storybook/core;https://www.npmjs.com/package/@storybook/core;Storybook framework-agnostic API;26.67;103;33389;8.6.14;20449437;11
P35;@schematics/angular;https://www.npmjs.com/package/@schematics/angular;Schematics specific to Angular;9.76;282;476;20.3.8;20449101;3
P4;@prisma/client;https://www.npmjs.com/package/@prisma/client;Prisma Client is an auto-generated, type-safe and modern JavaScript/TypeScript ORM for Node.js that's tailored to your data. Supports PostgreSQL, CockroachDB, MySQL, MariaDB, SQL Server, SQLite & MongoDB databases.;73.19;106;25140;6.18.0;18210146;0
P28;react-devtools-core;https://www.npmjs.com/package/react-devtools-core;Use react-devtools outside of the browser;15.14;14;5725;7.0.1;18120853;2
P74;stripe;https://www.npmjs.com/package/stripe;Stripe API wrapper;5.66;614;693;19.2.0;17826358;1
P36;@apollo/client;https://www.npmjs.com/package/@apollo/client;A fully-featured caching GraphQL client.;9.75;1676;2996;4.0.8;17701532;7
P5;react-native;https://www.npmjs.com/package/react-native;A framework for building native apps using React;72.47;4473;3763;0.82.1;17318659;35
P20;firebase;https://www.npmjs.com/package/firebase;Firebase JavaScript library for web and Node.js;24.83;2608;24592;12.4.0;15988225;28
P29;esbuild-wasm;https://www.npmjs.com/package/esbuild-wasm;The cross-platform WebAssembly binary for esbuild, a JavaScript bundler.;12.25;15;1530;0.25.11;15590985;0
P1;googleapis;https://www.npmjs.com/package/googleapis;Google APIs Client Library for Node.js;185.43;1803;27123;164.1.0;15559428;2
P50;esbuild-linux-64;https://www.npmjs.com/package/esbuild-linux-64;The Linux 64-bit binary for esbuild, a JavaScript bundler.;8.22;3;0;0.15.18;13829170;0
P83;fp-ts;https://www.npmjs.com/package/fp-ts;Functional programming in TypeScript;4.52;619;7270;2.16.11;13639873;0
P77;@google-cloud/firestore;https://www.npmjs.com/package/@google-cloud/firestore;Firestore Client Library for Node.js;5.31;185;3254;7.11.6;13097354;5
P17;three;https://www.npmjs.com/package/three;JavaScript 3D library;29.34;1117;30402;0.180.0;11524296;0
P12;antd;https://www.npmjs.com/package/antd;An enterprise-class UI design language and React components implementation;45.99;3743;5740;5.27.6;9059625;49
P93;mobx;https://www.npmjs.com/package/mobx;Simple, scalable state management.;4.14;134;4250;6.15.0;8913983;0
P65;@js-joda/core;https://www.npmjs.com/package/@js-joda/core;a date and time library for javascript;7.36;87;7324;5.6.5;8389047;0
P25;lighthouse;https://www.npmjs.com/package/lighthouse;Automated auditing, performance metrics, and best practices for the web.;17.16;939;3979;13.0.1;7768636;25
P24;selenium-webdriver;https://www.npmjs.com/package/selenium-webdriver;The official WebDriver JavaScript bindings from the Selenium project;17.66;100;1792;4.38.0;7108745;4
P53;lerna;https://www.npmjs.com/package/lerna;Lerna is a fast, modern build system for managing and publishing multiple JavaScript/TypeScript packages from the same repository;8.15;259;28117;9.0.0;6691323;77
P16;@formatjs/intl-displaynames;https://www.npmjs.com/package/@formatjs/intl-displaynames;Polyfill for: https://tc39.es/proposal-intl-displaynames;30.70;1174;274;6.8.13;6599269;3
P22;ag-grid-community;https://www.npmjs.com/package/ag-grid-community;Advanced Data Grid / Data Table supporting Javascript / Typescript / React / Angular / Vue;19.67;705;0;34.3.1;5991870;1
P81;@elastic/elasticsearch;https://www.npmjs.com/package/@elastic/elasticsearch;The official Elasticsearch client for Node.js;4.96;287;733;9.2.0;5747201;3
P73;@material-ui/core;https://www.npmjs.com/package/@material-ui/core;React components that implement Google's Material Design.;5.69;1587;4887;4.12.4;5086710;12
P27;@mdn/browser-compat-data;https://www.npmjs.com/package/@mdn/browser-compat-data;Browser compatibility data provided by MDN Web Docs;16.63;8;0;7.1.17;4723675;0
P37;@material-ui/icons;https://www.npmjs.com/package/@material-ui/icons;Material Design Svg Icons converted to Material-UI React components.;9.73;16674;1;4.11.3;3253568;1
P7;vuetify;https://www.npmjs.com/package/vuetify;Vue Material Component Framework;53.59;1977;11798;3.10.8;3125853;0
P26;video.js;https://www.npmjs.com/package/video.js;An HTML5 video player that supports HLS and DASH with a common API and skin.;17.16;431;16606;8.23.4;3019021;12
P64;esbuild-linux-arm64;https://www.npmjs.com/package/esbuild-linux-arm64;The Linux ARM 64-bit binary for esbuild, a JavaScript bundler.;7.69;3;0;0.15.18;2957318;0
P45;esbuild-windows-64;https://www.npmjs.com/package/esbuild-windows-64;The Windows 64-bit binary for esbuild, a JavaScript bundler.;8.36;4;0;0.15.18;2829887;0
P46;esbuild-darwin-arm64;https://www.npmjs.com/package/esbuild-darwin-arm64;The macOS ARM 64-bit binary for esbuild, a JavaScript bundler.;8.33;3;0;0.15.18;2742741;0
P100;web3;https://www.npmjs.com/package/web3;Ethereum JavaScript API;3.30;82;3828;4.16.0;2722915;17
P42;esbuild-darwin-64;https://www.npmjs.com/package/esbuild-darwin-64;The macOS 64-bit binary for esbuild, a JavaScript bundler.;8.66;3;0;0.15.18;2698312;0
P57;esbuild-linux-ppc64le;https://www.npmjs.com/package/esbuild-linux-ppc64le;The Linux PowerPC 64-bit Little Endian binary for esbuild, a JavaScript bundler.;7.88;3;0;0.15.18;2621241;0
P55;esbuild-windows-32;https://www.npmjs.com/package/esbuild-windows-32;The Windows 32-bit binary for esbuild, a JavaScript bundler.;8.04;4;0;0.15.18;2620912;0
P63;esbuild-freebsd-arm64;https://www.npmjs.com/package/esbuild-freebsd-arm64;The FreeBSD ARM 64-bit binary for esbuild, a JavaScript bundler.;7.69;3;0;0.15.18;2618497;0
P61;esbuild-linux-arm;https://www.npmjs.com/package/esbuild-linux-arm;The Linux ARM binary for esbuild, a JavaScript bundler.;7.81;3;0;0.15.18;2618184;0
P44;esbuild-android-arm64;https://www.npmjs.com/package/esbuild-android-arm64;The Android ARM 64-bit binary for esbuild, a JavaScript bundler.;8.50;3;0;0.15.18;2617935;0
P62;esbuild-windows-arm64;https://www.npmjs.com/package/esbuild-windows-arm64;The Windows ARM 64-bit binary for esbuild, a JavaScript bundler.;7.76;4;0;0.15.18;2617615;0
P41;esbuild-linux-mips64le;https://www.npmjs.com/package/esbuild-linux-mips64le;The Linux MIPS 64-bit Little Endian binary for esbuild, a JavaScript bundler.;8.94;3;0;0.15.18;2616573;0
P48;esbuild-openbsd-64;https://www.npmjs.com/package/esbuild-openbsd-64;The OpenBSD 64-bit binary for esbuild, a JavaScript bundler.;8.22;3;0;0.15.18;2615187;0
P51;esbuild-sunos-64;https://www.npmjs.com/package/esbuild-sunos-64;The illumos 64-bit binary for esbuild, a JavaScript bundler.;8.20;3;0;0.15.18;2614680;0
P52;esbuild-netbsd-64;https://www.npmjs.com/package/esbuild-netbsd-64;The NetBSD AMD64 binary for esbuild, a JavaScript bundler.;8.19;3;0;0.15.18;2602275;0
P60;esbuild-linux-32;https://www.npmjs.com/package/esbuild-linux-32;The Linux 32-bit binary for esbuild, a JavaScript bundler.;7.82;3;0;0.15.18;2580771;0
P88;jquery-ui;https://www.npmjs.com/package/jquery-ui;A curated set of user interface interactions, effects, widgets, and themes built on top of the jQuery JavaScript Library.;4.35;546;3421;1.14.1;2566888;1
P49;esbuild-freebsd-64;https://www.npmjs.com/package/esbuild-freebsd-64;The FreeBSD 64-bit binary for esbuild, a JavaScript bundler.;8.22;3;0;0.15.18;2461809;0
P94;intl-tel-input;https://www.npmjs.com/package/intl-tel-input;A JavaScript plugin for entering and validating international telephone numbers;3.98;321;2808;25.12.3;2342056;0
P68;ionicons;https://www.npmjs.com/package/ionicons;Premium icons for Ionic.;5.93;4140;762;8.0.13;2307095;1
P43;esbuild-linux-s390x;https://www.npmjs.com/package/esbuild-linux-s390x;The Linux IBM Z 64-bit Big Endian binary for esbuild, a JavaScript bundler.;8.50;3;0;0.15.18;2293235;0
P58;esbuild-linux-riscv64;https://www.npmjs.com/package/esbuild-linux-riscv64;The Linux RISC-V 64-bit binary for esbuild, a JavaScript bundler.;7.88;3;0;0.15.18;2213373;0
P33;esbuild-android-64;https://www.npmjs.com/package/esbuild-android-64;A WebAssembly shim for esbuild on Android x64.;10.21;7;84;0.15.18;2085634;0
P23;react-devtools-inline;https://www.npmjs.com/package/react-devtools-inline;Embed react-devtools within a website;19.64;15;1294;7.0.1;1846125;2
P10;element-plus;https://www.npmjs.com/package/element-plus;A Component Library for Vue 3;47.19;7150;19176;2.11.5;1748526;14
P69;@ag-grid-community/core;https://www.npmjs.com/package/@ag-grid-community/core;Advanced Data Grid / Data Table supporting Javascript / Typescript / React / Angular / Vue;5.91;429;11556;32.3.9;1614085;2
P14;@fluentui/react;https://www.npmjs.com/package/@fluentui/react;Reusable React components for building web experiences.;32.90;7448;25806;8.125.0;1446746;14
P6;pixi.js;https://www.npmjs.com/package/pixi.js;"<p align=""center"">   <a href=""https://pixijs.com"" target=""_blank"" rel=""noopener noreferrer"">     <img height=""150"" src=""https://files.pixijs.download/branding/pixijs-logo-transparent-dark.svg?v=1"" alt=""PixiJS logo"">   </a> </p> <br/> <p align=""center"">   ";60.38;3363;20652;8.14.0;1313935;11
P71;@aws-cdk/region-info;https://www.npmjs.com/package/@aws-cdk/region-info;AWS region information, such as service principal names;5.76;27;72;2.221.1;924334;0
P11;bootstrap-vue;https://www.npmjs.com/package/bootstrap-vue;With more than 85 components, over 45 available plugins, several directives, and 1000+ icons, BootstrapVue provides one of the most comprehensive implementations of the Bootstrap v4 component and grid system available for Vue.js v2.6, complete with extens;46.99;1134;14966;2.23.1;814835;5
P34;quasar;https://www.npmjs.com/package/quasar;Build high-performance VueJS user interfaces (SPA, PWA, SSR, Mobile and Desktop) in record time;10.19;1170;19688;2.18.5;784893;0
P19;ng-zorro-antd;https://www.npmjs.com/package/ng-zorro-antd;An enterprise-class UI components based on Ant Design and Angular;26.38;7502;6246;20.3.1;622734;5
P66;@antv/g6;https://www.npmjs.com/package/@antv/g6;A Graph Visualization Framework in JavaScript;6.90;2064;7058;5.0.50;619400;11
P2;ant-design-vue;https://www.npmjs.com/package/ant-design-vue;An enterprise-class UI design language and Vue-based implementation;74.34;5355;15005;4.2.6;555749;22
P21;foundation-sites;https://www.npmjs.com/package/foundation-sites;The most advanced responsive front-end framework in the world.;23.59;773;10191;6.9.0;414871;0
P75;@primer/css;https://www.npmjs.com/package/@primer/css;The CSS implementation of GitHub's Primer Design System;5.58;276;0;22.0.2;335431;0
P13;@tailwindcss/postcss7-compat;https://www.npmjs.com/package/@tailwindcss/postcss7-compat;A utility-first CSS framework for rapidly building custom user interfaces.;34.41;265;1372;2.2.17;328072;35
P72;vant;https://www.npmjs.com/package/vant;Mobile UI Components built on Vue;5.72;2173;14483;4.9.21;229439;3
P9;ccxt;https://www.npmjs.com/package/ccxt;A cryptocurrency trading API with more than 100 exchanges in JavaScript / TypeScript / Python / C# / PHP / Go;47.86;1531;24024;4.5.14;223488;1
P39;admin-lte;https://www.npmjs.com/package/admin-lte;Responsive open source admin dashboard and control panel.;9.41;137;347;4.0.0-rc3;210865;0
P82;@aws-cdk/aws-apigateway;https://www.npmjs.com/package/@aws-cdk/aws-apigateway;The CDK Construct Library for AWS::ApiGateway;4.96;87;809;1.204.0;203746;14
P87;@aws-cdk/aws-cloudfront;https://www.npmjs.com/package/@aws-cdk/aws-cloudfront;The CDK Construct Library for AWS::CloudFront;4.37;45;392;1.204.0;191382;11
P32;moralis;https://www.npmjs.com/package/moralis;Moralis SDK for JavaScript and TypeScript;11.22;36;5833;2.27.2;146562;13
P3;@withfig/autocomplete;https://www.npmjs.com/package/@withfig/autocomplete;Fig Autocomplete Specs;73.22;1541;16304;2.692.3;42632;5
P91;@oroinc/bootstrap;https://www.npmjs.com/package/@oroinc/bootstrap;The most popular front-end framework for developing responsive, mobile first projects on the web.;4.17;152;2180;4.3.1-oro2;10845;0
;;;;;;;;;
